2023-09-21T20:02:08.378710+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:02:25.636248+0300, INFO, main.py, main, 17, on_shutdown, Bot off
2023-09-21T20:02:46.920893+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:02:51.579660+0300, INFO, main.py, main, 17, on_shutdown, Bot off
2023-09-21T20:03:23.959127+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:03:30.497887+0300, INFO, main.py, main, 17, on_shutdown, Bot off
2023-09-21T20:03:51.899808+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:04:36.591929+0300, INFO, main.py, main, 17, on_shutdown, Bot off
2023-09-21T20:04:53.773761+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:05:20.815370+0300, INFO, main.py, main, 17, on_shutdown, Bot off
2023-09-21T20:05:27.212594+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:05:33.837221+0300, INFO, main.py, main, 17, on_shutdown, Bot off
2023-09-21T20:05:42.437084+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:05:54.299608+0300, INFO, main.py, main, 17, on_shutdown, Bot off
2023-09-21T20:14:20.363345+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:14:27.513435+0300, INFO, main.py, main, 17, on_shutdown, Bot off
2023-09-21T20:15:50.694024+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:15:57.014807+0300, INFO, main.py, main, 17, on_shutdown, Bot off
2023-09-21T20:16:33.801933+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:16:46.931770+0300, INFO, main.py, main, 17, on_shutdown, Bot off
2023-09-21T20:18:00.842960+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:18:12.879717+0300, INFO, main.py, main, 17, on_shutdown, Bot off
2023-09-21T20:22:27.410275+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:22:37.622278+0300, INFO, main.py, main, 17, on_shutdown, Bot off
2023-09-21T20:23:06.790250+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:23:18.901405+0300, INFO, main.py, main, 17, on_shutdown, Bot off
2023-09-21T20:23:50.868152+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:23:54.992969+0300, DEBUG, start.py, start, 43, cmd_start, ooool hoooh poiuada adagraert l
2023-09-21T20:23:55.555886+0300, DEBUG, start.py, start, 43, cmd_start, oool hoooh poiuada adagraert lo
